DISPUTE_ID,Customer_ID,Transaction_Date,Chargeback_Date,DISPUTE_TYPE,PRODUCT_TYPE,Amount,Merchant_ID,Customer_Documentation,ASSIGNED_STAFF,STATUS,CUSTOMER_STATEMENT,Outcome,Decision_Date,Resolution Time,Fraud_Indicator
DS000280,C000039,2020-11-03 04:29:32.972972972,2020-12-14 04:29:32.972972972,Fraudulent Transaction,Groceries,79777.81,MC000037,No Documentation Provided,Staff_152,Pending,I ordered some groceries online from a store and they charged me more than I expected. I checked my bank statement and I never authorised the charge. I'm not sure how this happened as I have never shopped at this store before.,resolved in favor of member,2021-03-17 04:29:32.972972972,0,True
DS000281,C000084,2020-11-04 06:49:22.162162160,2021-01-26 06:49:22.162162160,Incorrect Amount Charged,Art and Craft,48461.85,MC000096,Photos/Videos,Staff_270,Rejected,"I am writing this review to address the discrepancy in my credit card statement. I recently made a purchase from an online art store, and as stated in my chargeback request, I received this item, however, the amount charged was incorrect. I am requesting a refund for the incorrect amount charged, and I",resolved in favor of member,2021-07-04 06:49:22.162162160,0,True
DS000282,C000018,2020-11-05 09:09:11.351351352,2021-01-27 09:09:11.351351352,Fraudulent Transaction,Groceries,18111.67,MC000047,Fraud Report,Staff_330,Pending,"I recently received a chargeback on my account for a transaction that I did not authorize. This was a fraudulent transaction, and I was purchasing groceries at the time. I have been a loyal customer of this merchant for some time, and I am disappointed to have my account charged back. I would like",resolved in favor of member,2021-07-12 09:09:11.351351352,0,True
DS000283,C000041,2020-11-06 11:29:00.540540540,2021-01-01 11:29:00.540540540,Services Rendered but Unsatisfactory,Footwear,55599.79,MC000039,No Documentation Provided,Staff_317,Rejected,"I recently made a purchase from MC000039 for a pair of footwear. Unfortunately, the product did not meet my expectations. The quality of the footwear was poor, and it did not fit as expected. I am very disappointed with the product and would like to request a refund. I understand",resolved in favor of member,2021-04-26 11:29:00.540540540,0,False
DS000284,C000036,2020-11-07 13:48:49.729729728,2021-01-17 13:48:49.729729728,Fraudulent Transaction,Groceries,58874.06,MC000033,Receipt,Staff_314,Resolved,"I had a terrible experience with this merchant. I tried to buy some groceries from them, but the transaction was declined. I don't know if it was a fraudulent transaction or not, but I would like to get some clarification. I am not sure what happened, but I would like to know",resolved in favor of member,2021-06-06 13:48:49.729729728,140,True
DS000285,C000063,2020-11-08 16:08:38.918918920,2020-11-21 16:08:38.918918920,Billing Descriptor Issue,Footwear,93970.24,MC000012,Service Agreement,Staff_063,Pending,"I bought a pair of shoes from a well-known brand on their website. However, I was charged twice for the same item. When I contacted the company to resolve the issue, they were uncooperative and refused to refund me. This had made me to file a chargeback against the brand.",resolved in favor of merchant,2021-05-05 16:08:38.918918920,0,True
DS000286,C000036,2020-11-09 18:28:28.108108108,2021-01-03 18:28:28.108108108,Service Not Rendered,Art and Craft,2758.99,MC000044,Terms and Conditions,Staff_140,Rejected,"I recently ordered a painting from an online art gallery, and it was not what I expected. The colors were off, and the brushstrokes were not as smooth as they looked in the picture. I contacted the customer service department, but they were unable to help me. I requested a refund, but the art",resolved in favor of member,2021-02-04 18:28:28.108108108,0,True
DS000287,C000039,2020-11-10 20:48:17.297297296,2021-01-06 20:48:17.297297296,Lack of Disclosure,Automotive Appliances,39559.31,MC000002,Receipt,Staff_369,Rejected,"I recently purchased a set of car speakers from a merchant, and I was disappointed with the quality of the product. The speakers did not produce clear sound, and I had to return them. When I tried to request a refund, the merchant refused to process my request. They claimed that I had received the product and had",resolved in favor of member,2021-06-18 20:48:17.297297296,0,False
DS000288,C000069,2020-11-11 23:08:06.486486488,2021-02-06 23:08:06.486486488,Incorrect Amount Charged,Electronics,80646.11,MC000002,Photos/Videos,Staff_343,Rejected,I purchased an item from an electronics store and received a chargeback after the purchase. The chargeback was due to the item not being as described or there being a discrepancy between the product type and the one I received. The dispute type was incorrect amount charged. I contacted the merchant and the dispute was resolved,resolved in favor of merchant,2021-05-21 23:08:06.486486488,0,True
DS000289,C000095,2020-11-13 01:27:55.675675676,2020-12-17 01:27:55.675675676,Incorrect Amount Charged,Baby care,87061.05,MC000030,No Documentation Provided,Staff_357,Pending,I am writing to dispute the charge of $87061.05 on my credit card statement from Merchant Name for Baby care products. I did not purchase any Baby care products and have never done business with this merchant. I have contacted my bank and they have initiated a chargeback on my behalf.,resolved in favor of member,2021-05-07 01:27:55.675675676,0,True
DS000290,C000044,2020-11-14 03:47:44.864864864,2020-12-26 03:47:44.864864864,Return Policy Violation,Footwear,29096.9,MC000028,Photos/Videos,Staff_397,Pending,"I ordered a pair of Nike sneakers from the online store of Merchant, but they never arrived. I tried to contact the customer service multiple times, but they didn't respond. I used the customer service email address, but there was no response. I waited for a long time without receiving any communication from",resolved in favor of merchant,2021-02-06 03:47:44.864864864,0,True
DS000291,C000080,2020-11-15 06:07:34.054054052,2021-01-02 06:07:34.054054052,Identity Theft,Baby care,36156.33,MC000090,Terms and Conditions,Staff_037,Pending,I am writing to inform you that I have received a chargeback request from my credit card company. I would like to resolve this issue as quickly as possible. I purchased products from your company on 2020-11-15 and was charged $36156.33. I,resolved in favor of member,2021-03-14 06:07:34.054054052,0,True
DS000292,C000075,2020-11-16 08:27:23.243243244,2020-11-22 08:27:23.243243244,Identity Theft,Health and Hygiene,10984.23,MC000054,Service Agreement,Staff_015,Pending,"I recently made a purchase of a health and hygiene product from a merchant, and unfortunately, I was charged back for the purchase. The merchant's identity was verified, and the product I received was authentic. However, I experienced some issues with the product, and I was unable to resolve them with the merchant",resolved in favor of merchant,2021-02-21 08:27:23.243243244,0,False
DS000293,C000041,2020-11-17 10:47:12.432432432,2021-02-09 10:47:12.432432432,Billing Descriptor Issue,Art and Craft,84761.49,MC000084,Identity Verification Documents,Staff_151,Pending,"I recently ordered an art and craft product from a merchant, and the billing descriptor used by the merchant was confusing and misleading. I contacted the merchant and disputed the charge, but they were unresponsive. The dispute was resolved in my favor, and I received a refund for the purchase. Overall, I",resolved in favor of member,2021-02-12 10:47:12.432432432,0,False
DS000294,C000001,2020-11-18 13:07:01.621621620,2020-12-14 13:07:01.621621620,Identity Theft,Pet Supplies,43462.24,MC000008,Fraud Report,Staff_048,Resolved,"I'm deeply dissatisfied with your service. I ordered a pet collar from your website a few days ago and it was supposed to be delivered in 3-5 business days, but it has been more than two weeks and I still haven't received it. I'm also worried about the quality of",resolved in favor of member,2021-04-09 13:07:01.621621620,116,False
DS000295,C000042,2020-11-19 15:26:50.810810812,2021-01-18 15:26:50.810810812,Service Not Rendered,Art and Craft,45420.63,MC000087,Photos/Videos,Staff_155,Pending,"This is a review for a transaction made on 2020-11-19 15:26:50.810810812 for an Art and Craft product. The dispute type was Service Not Rendered, and the chargeback decision was resolved in",resolved in favor of merchant,2021-03-26 15:26:50.810810812,0,True
DS000296,C000033,2020-11-20 17:46:40.000000000,2020-12-08 17:46:40.000000000,Canceled Transaction,Electronics,90918.58,MC000044,Fraud Report,Staff_152,Pending,"I did not receive the product I ordered. I placed an order for a speaker system and the seller never shipped it to me. I have requested a refund, but the seller is refusing to provide one. I have been in contact with my bank and they have initiated a chargeback. I am frustrated and disappointed by",resolved in favor of merchant,2021-01-16 17:46:40.000000000,0,True
DS000297,C000090,2020-11-21 20:06:29.189189188,2020-12-08 20:06:29.189189188,Service Not Rendered,Fashion hub,99063.11,MC000003,Identity Verification Documents,Staff_341,Resolved,"I ordered a pair of shoes from the Fashion Hub website and paid for them using my credit card. However, I never received the shoes and did not receive a refund. I was charged $990.63 for the shoes, which were supposed to be delivered to my address. I contacted the customer service",resolved in favor of member,2021-04-25 20:06:29.189189188,138,True
DS000298,C000082,2020-11-22 22:26:18.378378376,2021-01-17 22:26:18.378378376,Fraudulent Transaction,Baby care,43734.62,MC000039,Service Agreement,Staff_039,New,"I ordered a Baby Care product from the merchant, but they failed to deliver the product as promised. They have charged my credit card without my consent, and I have received a chargeback on my credit card for the same. I am seeking a resolution to this issue and requesting a refund for the product. I have",resolved in favor of merchant,2021-06-12 22:26:18.378378376,0,False
DS000299,C000007,2020-11-24 00:46:07.567567568,2021-01-16 00:46:07.567567568,Incorrect Amount Charged,Toys and Games,15199.8,MC000067,No Documentation Provided,Staff_148,Pending,I was very disappointed by the quality of the product and the service. I received a package from this company and I was very disappointed by the quality of the product and the service.,resolved in favor of member,2021-01-18 00:46:07.567567568,0,False
DS000300,C000020,2020-11-25 03:05:56.756756756,2021-01-04 03:05:56.756756756,Unauthorized Recurring Charge,Toys and Games,91496.86,MC000069,No Documentation Provided,Staff_237,Resolved,I am a customer of this company and I am writing to dispute a recent charge that was made to my account. The charge in question was for a recurring subscription to a toy and game service that I did not authorize. I have never signed up for this service and I am not aware of how this charge was,resolved in favor of merchant,2021-01-13 03:05:56.756756756,9,True
DS000301,C000036,2020-11-26 05:25:45.945945944,2021-01-15 05:25:45.945945944,Return Policy Violation,Home essentials,72668.18,MC000055,Receipt,Staff_346,Pending,"I ordered a product from the merchant on 2020-11-26 and received it on 2021-01-15. I had a return policy violation and the disputed amount is $726, Outcome: resolved in favor of member, Decision_",resolved in favor of member,2021-05-16 05:25:45.945945944,0,False
DS000302,C000043,2020-11-27 07:45:35.135135136,2020-12-09 07:45:35.135135136,Product Not Received,Groceries,40909.6,MC000061,Bank Statement,Staff_128,Pending,"I am disappointed with the service I received from the merchant. I ordered products that were supposed to be delivered on time, but they were not. The delivery time was not as promised and I was not satisfied with the quality of the products. I am requesting a refund and I would like to make sure that my money",resolved in favor of merchant,2021-01-24 07:45:35.135135136,0,False
DS000303,C000029,2020-11-28 10:05:24.324324324,2021-01-07 10:05:24.324324324,Unauthorized Recurring Charge,Baby care,3323.24,MC000060,Photos/Videos,Staff_004,Pending,"Dear Merchant 000060,",resolved in favor of member,2021-02-22 10:05:24.324324324,0,False
DS000304,C000001,2020-11-29 12:25:13.513513512,2021-02-07 12:25:13.513513512,Fraudulent Transaction,Health and Hygiene,39859.19,MC000092,No Documentation Provided,Staff_010,Pending,"The product was not as described and the seller refused to refund my money. I purchased a health and hygiene product that was supposed to be for your dog, but it turned out to be for a cat. I was very dissatisfied with the product and the seller refused to refund my money. I am very",resolved in favor of member,2021-04-24 12:25:13.513513512,0,True
DS000305,C000062,2020-11-30 14:45:02.702702704,2021-02-02 14:45:02.702702704,Billing Descriptor Issue,Footwear,26636.97,MC000041,Receipt,Staff_276,Pending,"I am a customer who bought a pair of sport shoes from a well-known retailer. I am very disappointed with their service. I received a product that was not as described. I ordered a size 11, but the product I received was a size 9. I contacted the company, but they were",resolved in favor of member,2021-05-02 14:45:02.702702704,0,True
DS000306,C000092,2020-12-01 17:04:51.891891892,2021-02-07 17:04:51.891891892,Incorrect Amount Charged,Sports Equipments,4449.48,MC000011,Fraud Report,Staff_021,Resolved,"I recently purchased a sports equipment from an online retailer and unfortunately, I received a product that was not as described. The product was supposed to be a high-quality item, but it turned out to be a defective and low-quality product. I am very disappointed with this purchase and I am requesting a",resolved in favor of merchant,2021-06-25 17:04:51.891891892,138,True
DS000307,C000034,2020-12-02 19:24:41.081081080,2021-01-09 19:24:41.081081080,Unrecognized Transaction,Home essentials,31036.84,MC000017,Terms and Conditions,Staff_208,Pending,The product was not what I expected. The quality was poor and the packaging was damaged. I will not be purchasing from this store again.,resolved in favor of member,2021-03-28 19:24:41.081081080,0,False
DS000308,C000026,2020-12-03 21:44:30.270270268,2020-12-28 21:44:30.270270268,Service Not Rendered,Automotive Appliances,21032.45,MC000054,Receipt,Staff_372,Resolved,"I ordered a car accessory from this merchant but never received it. I tried contacting customer service, but they were not responsive. When I tried to return the product, they said it was past the return period. I was so frustrated, so I disputed the charge. The merchant claims that the refund was",resolved in favor of merchant,2021-02-23 21:44:30.270270268,57,False
DS000309,C000032,2020-12-05 00:04:19.459459460,2021-02-03 00:04:19.459459460,Unrecognized Transaction,Fashion hub,55918.45,MC000025,Receipt,Staff_108,Rejected,"I am writing this review to express my disappointment with the purchase I made from this online store. The product I received was not the one I ordered. It was a completely different size and style, which is not what I expected at all. I am very disappointed in the product I received and would not recommend this website to",resolved in favor of member,2021-07-15 00:04:19.459459460,0,True
DS000310,C000003,2020-12-06 02:24:08.648648648,2021-02-02 02:24:08.648648648,Incorrect Amount Charged,Groceries,99271.47,MC000015,Bank Statement,Staff_097,New,I recently purchased a product from this merchant on 2020-12-06 02:24:08.648648648 and paid $99271.47. I received a chargeback on 2021-0,resolved in favor of merchant,2021-05-01 02:24:08.648648648,0,False
DS000311,C000071,2020-12-07 04:43:57.837837836,2021-01-21 04:43:57.837837836,Services Rendered but Unsatisfactory,Groceries,52758.28,MC000027,No Documentation Provided,Staff_391,New,"I recently purchased a number of items from a local store, but I was disappointed with the quality of the products. Some of the items were rotten or spoiled, and others were not as fresh as I had expected. I contacted the store to dispute the charge and received a response that the store will refund me the",resolved in favor of member,2021-03-22 04:43:57.837837836,0,True
DS000312,C000052,2020-12-08 07:03:47.027027028,2021-02-09 07:03:47.027027028,Canceled Transaction,Home essentials,10801.28,MC000094,Service Agreement,Staff_356,Pending,The product received was not up to the standard promised by the seller. I have cancelled the transaction and will not be using it.,resolved in favor of merchant,2021-02-28 07:03:47.027027028,0,False
DS000313,C000099,2020-12-09 09:23:36.216216216,2020-12-19 09:23:36.216216216,Fraudulent Transaction,Furniture,96521.4,MC000050,Photos/Videos,Staff_145,Resolved,"I ordered a sofa for my living room from this store and I must admit, it's very comfortable and looks great in my house. However, when I received the item, the packaging was damaged and the sofa was slightly damaged. I contacted the store and they were very helpful in resolving the issue and sending me",resolved in favor of merchant,2021-01-10 09:23:36.216216216,22,False
DS000314,C000043,2020-12-10 11:43:25.405405404,2021-02-20 11:43:25.405405404,Product Defective,Health and Hygiene,23335.22,MC000016,Fraud Report,Staff_167,Resolved,"I ordered a product from this online store, but unfortunately, the product was defective. The product did not work as expected, and I was not satisfied with the quality and performance. I have contacted the customer support team and they have assured me that they will resolve the issue and replace the product. However, it has",resolved in favor of merchant,2021-08-13 11:43:25.405405404,174,False
DS000315,C000032,2020-12-11 14:03:14.594594596,2021-02-26 14:03:14.594594596,Fraudulent Transaction,Footwear,8157.74,MC000027,Terms and Conditions,Staff_043,Resolved,"I am writing this review to inform you that I have been charged back by your company. I ordered a pair of shoes from your website, but they never arrived. When I contacted your customer service, they were unhelpful and refused to refund my money. I have also been charged back for an,",resolved in favor of merchant,2021-07-29 14:03:14.594594596,153,False
DS000316,C000074,2020-12-12 16:23:03.783783784,2021-02-07 16:23:03.783783784,Incorrect Amount Charged,Sports Equipments,35212.68,MC000082,Terms and Conditions,Staff_248,New,"I recently placed an order for a scooter online from a reputable retailer. However, when the package was delivered, I noticed that the scooter was damaged. The wheels were bent and the handlebars were broken. I contacted the retailer to inform them of the issue and requested a replacement. Unfortunately",resolved in favor of merchant,2021-02-18 16:23:03.783783784,0,False
DS000317,C000083,2020-12-13 18:42:52.972972972,2020-12-21 18:42:52.972972972,Return Policy Violation,Automotive Appliances,47593.45,MC000096,Terms and Conditions,Staff_108,Pending,"I am writing to inform you that I am extremely disappointed with the purchase I made from your company. I ordered an automotive appliance from your website, but upon receiving the product, I noticed that it did not meet my expectations. The product was not of the quality that I had expected, and it did not function",resolved in favor of merchant,2021-02-19 18:42:52.972972972,0,False
DS000318,C000086,2020-12-14 21:02:42.162162160,2020-12-18 21:02:42.162162160,Billing Descriptor Issue,Home essentials,56141.71,MC000081,Bank Statement,Staff_075,Resolved,Chargeback for a subscription service I did not authorize.,resolved in favor of merchant,2021-02-06 21:02:42.162162160,50,False
DS000319,C000031,2020-12-15 23:22:31.351351352,2020-12-27 23:22:31.351351352,Fraudulent Transaction,Art and Craft,23792.95,MC000004,Identity Verification Documents,Staff_271,Rejected,"I purchased a canvas print from this merchant, but it was not as described. I received the item and it was damaged and not as advertised. The item was not the same quality as the pictures on the website. The item was not the same size as advertised. The item did not arrive in the condition as",resolved in favor of merchant,2021-04-07 23:22:31.351351352,0,True
DS000320,C000032,2020-12-17 01:42:20.540540540,2021-02-19 01:42:20.540540540,Product Defective,Fashion hub,81069.12,MC000053,Correspondence,Staff_318,Rejected,I was very disappointed with this product. It was not the size that was advertised. I am very disappointed with this product. I was very disappointed with this product. It was not the size that was advertised. I am very disappointed with this product. I was very disappointed with this product.,resolved in favor of merchant,2021-04-17 01:42:20.540540540,0,True
DS000321,C000096,2020-12-18 04:02:09.729729728,2021-01-17 04:02:09.729729728,Services Rendered but Unsatisfactory,Electronics,44228.89,MC000021,Terms and Conditions,Staff_132,Pending,I ordered a phone from this company but it was faulty and arrived late. I contacted their customer service but they were not helpful at all. They kept passing me around different departments and never got to resolve the issue. The phone was also expensive and I'm not happy with the quality. I would never recommend this,resolved in favor of member,2021-06-10 04:02:09.729729728,0,True
DS000322,C000031,2020-12-19 06:21:58.918918920,2021-02-08 06:21:58.918918920,Billing Descriptor Issue,Health and Hygiene,34953.62,MC000080,Receipt,Staff_085,Pending,"I recently experienced a chargeback issue with a company that I had purchased a product from. The product was a health and hygiene product, and the chargeback was due to a billing descriptor issue. The chargeback fee was $34953.62, which I felt was reasonable. However",resolved in favor of member,2021-03-30 06:21:58.918918920,0,False
DS000323,C000049,2020-12-20 08:41:48.108108108,2021-01-13 08:41:48.108108108,Services Rendered but Unsatisfactory,Furniture,49049.56,MC000010,Service Agreement,Staff_071,Rejected,"I purchased a sofa from this merchant for $49049.56. However, the sofa is of very poor quality and does not meet my expectations. The stitching is loose and the fabric is of low quality. The sofa is also not comfortable to sit on. I would not recommend this product",resolved in favor of merchant,2021-03-20 08:41:48.108108108,0,False
DS000324,C000098,2020-12-21 11:01:37.297297296,2021-01-15 11:01:37.297297296,Merchant Error,Baby care,87543.38,MC000053,Bank Statement,Staff_358,Pending,"The product I ordered from your website was not as described. The item was supposed to be delivered to my address on 20th January 2021. However, it was not delivered and I am concerned. I have contacted the customer service department and they told me that the item was out of stock and",resolved in favor of member,2021-02-10 11:01:37.297297296,0,False
DS000325,C000045,2020-12-22 13:21:26.486486484,2021-01-21 13:21:26.486486484,Failure to Receive Credit,Footwear,34588.95,MC000092,Terms and Conditions,Staff_379,Pending,"I ordered a pair of shoes from an online retailer on December 22nd, 2020. However, I never received the shoes and have not been able to contact the company to resolve the issue. I have tried reaching out to customer service multiple times, but they have been unresponsive and",resolved in favor of merchant,2021-03-06 13:21:26.486486484,0,False
DS000326,C000071,2020-12-23 15:41:15.675675676,2021-01-09 15:41:15.675675676,Services Rendered but Unsatisfactory,Beauty and Personal Care,24961.66,MC000009,Identity Verification Documents,Staff_338,New,"This product is amazing! I have been using it for a few months now and I am very happy with the results. It has helped to improve my skin texture and tone, and it also has a great smell. I would definitely recommend it to anyone looking for a good skin care product.",resolved in favor of merchant,2021-03-16 15:41:15.675675676,0,True
DS000327,C000077,2020-12-24 18:01:04.864864864,2021-01-08 18:01:04.864864864,Return Policy Violation,Sports Equipments,16643.0,MC000001,Correspondence,Staff_388,Pending,"I placed an order for a pair of running shoes on December 24, 2020. The shoes were delivered to my home on December 26, 2020. However, upon receiving the shoes, I noticed that they were not the same as the ones I had ordered. The",resolved in favor of merchant,2021-06-11 18:01:04.864864864,0,False
DS000328,C000063,2020-12-25 20:20:54.054054052,2021-03-12 20:20:54.054054052,Fraudulent Transaction,Toys and Games,7180.02,MC000016,Correspondence,Staff_266,Pending,I recently purchased a product from a popular online store and was disappointed with my experience. The product I received was not what I had ordered and the customer service was not helpful. The company's policies were confusing and I was unable to get a refund. I tried to contact the company multiple times but was unable to get,resolved in favor of member,2021-05-24 20:20:54.054054052,0,False
DS000329,C000055,2020-12-26 22:40:43.243243244,2021-03-20 22:40:43.243243244,Services Rendered but Unsatisfactory,Automotive Appliances,49062.2,MC000047,No Documentation Provided,Staff_054,Rejected,"I ordered a car battery from an online store and received it a few days later. However, when I tried to install it, I found that it didn't fit my car. I contacted the store and they said they would send me a refund, but it has been over a month and I have not received it",resolved in favor of merchant,2021-09-14 22:40:43.243243244,0,False
DS000330,C000098,2020-12-28 01:00:32.432432432,2021-01-23 01:00:32.432432432,Return Policy Violation,Home essentials,57960.2,MC000088,Correspondence,Staff_378,Pending,"I am writing to dispute the charge made on my credit card account on 2020-12-28 01:00:32.432432432. I purchased a product from the merchant, but I did not receive it. I have contacted the",resolved in favor of merchant,2021-01-24 01:00:32.432432432,0,True
DS000331,C000063,2020-12-29 03:20:21.621621620,2021-01-18 03:20:21.621621620,Fraudulent Transaction,Fashion hub,83418.72,MC000099,Bank Statement,Staff_302,Rejected,"I recently purchased a brand new iPhone 11 Pro Max from the Apple store. I was very excited to receive my new phone, but when I got home and opened the box, I noticed that the phone was damaged. The screen was cracked, and the back of the phone was also dented. I was very",resolved in favor of merchant,2021-02-27 03:20:21.621621620,0,True
DS000332,C000004,2020-12-30 05:40:10.810810812,2021-03-25 05:40:10.810810812,Canceled Transaction,Toys and Games,35122.03,MC000036,Service Agreement,Staff_093,Resolved,The product was not as described and I am not satisfied with the quality. I would like a refund or replacement.,resolved in favor of merchant,2021-04-30 05:40:10.810810812,36,False
DS000333,C000060,2020-12-31 08:00:00.000000000,2021-03-23 08:00:00.000000000,Merchant Error,Electronics,30525.92,MC000012,Fraud Report,Staff_361,Rejected,"I recently made a purchase from a merchant and was charged for a product that I never received. The merchant has refused to refund my money, and I am now faced with the possibility of a chargeback. As a result, I am writing this review to warn others about this merchant and to seek assistance in resolving this",resolved in favor of merchant,2021-07-11 08:00:00.000000000,0,False
DS000334,C000073,2021-01-01 10:19:49.189189188,2021-01-05 10:19:49.189189188,Service Not Rendered,Baby care,91783.35,MC000072,No Documentation Provided,Staff_333,Pending,I purchased a baby care product from a merchant but I am not satisfied with the quality of the product. The product did not meet my expectations and it was not as described. The product was not as advertised and it was of poor quality. I am filing a chargeback dispute with the merchant and I would like a,resolved in favor of merchant,2021-01-29 10:19:49.189189188,0,False
DS000335,C000020,2021-01-02 12:39:38.378378376,2021-01-03 12:39:38.378378376,Canceled Transaction,Pet Supplies,82157.83,MC000085,Service Agreement,Staff_250,Pending,"I ordered a pet food from this merchant, and the transaction was canceled. I contacted the merchant to resolve the issue but they refused to refund my money. I have attached the service agreement. I would like a refund of the amount in dispute.",resolved in favor of merchant,2021-07-02 12:39:38.378378376,0,False
DS000336,C000049,2021-01-03 14:59:27.567567568,2021-03-07 14:59:27.567567568,Canceled Transaction,Groceries,35799.67,MC000092,No Documentation Provided,Staff_379,Rejected,"I ordered groceries from the merchant MC000092 on 2021-01-03. The dispute type was Canceled Transaction, and the amount of the chargeback was $35799.67. However, I received a chargeback on my",resolved in favor of merchant,2021-07-17 14:59:27.567567568,0,True
DS000337,C000008,2021-01-04 17:19:16.756756756,2021-03-05 17:19:16.756756756,Incorrect Amount Charged,Groceries,32758.4,MC000032,Receipt,Staff_069,Pending,"I am writing this review to express my disappointment with the merchant. I recently ordered groceries online from them and it was a complete disaster. Firstly, the packaging was substandard and the products were not fresh at all. I received bruised fruits, vegetables that were close to their expiration date, and st",resolved in favor of merchant,2021-05-08 17:19:16.756756756,0,True
DS000338,C000096,2021-01-05 19:39:05.945945944,2021-03-22 19:39:05.945945944,Services Rendered but Unsatisfactory,Furniture,87241.59,MC000043,No Documentation Provided,Staff_205,Pending,"I recently purchased a sofa from a furniture store, and I was disappointed with the quality of the product. The sofa was supposed to be a mid-century modern design, but it was outdated and poorly made. The material used was flimsy, and the construction was poor. The quality of the sofa was not",resolved in favor of member,2021-05-07 19:39:05.945945944,0,True
DS000339,C000027,2021-01-06 21:58:55.135135136,2021-02-19 21:58:55.135135136,Unrecognized Transaction,Electronics,30805.51,MC000092,Terms and Conditions,Staff_037,New,"I purchased an electronic device from the merchant. However, I have not received the item I purchased. I have been in touch with the merchant's customer service team for the past few days, but they have not been able to provide me with a solution. I am disappointed with the merchant's service and would like",resolved in favor of merchant,2021-05-05 21:58:55.135135136,0,False
DS000340,C000052,2021-01-08 00:18:44.324324324,2021-03-29 00:18:44.324324324,Unauthorized Recurring Charge,Fashion hub,86407.45,MC000087,Service Agreement,Staff_201,Rejected,"I am a customer of this company and I have recently had an issue with a chargeback. I ordered a product from this company and they charged me for it, but then I never received the product. I contacted the company to try and resolve the issue, but they were not very helpful and I was unable to get",resolved in favor of member,2021-05-15 00:18:44.324324324,0,False
DS000341,C000068,2021-01-09 02:38:33.513513512,2021-03-25 02:38:33.513513512,Merchant Error,Footwear,46289.89,MC000061,Receipt,Staff_320,Rejected,"I recently made a purchase at a local store and it was an absolute nightmare. I ordered a pair of shoes that I was excited to try out, but they turned out to be the wrong size. When I tried to exchange them for a different size, the store refused to do so, citing their,  I",resolved in favor of member,2021-09-21 02:38:33.513513512,0,False
DS000342,C000028,2021-01-10 04:58:22.702702704,2021-01-15 04:58:22.702702704,Return Policy Violation,Toys and Games,30166.94,MC000007,Receipt,Staff_276,Pending,"The remote-controlled car I purchased from this merchant was a disappointment. It was a different model than the one I ordered, and it was missing important parts like the remote control and batteries. The customer service was unhelpful and unresponsive, which made the situation even more frustrating. I would not recommend",resolved in favor of merchant,2021-04-11 04:58:22.702702704,0,True
DS000343,C000043,2021-01-11 07:18:11.891891892,2021-01-28 07:18:11.891891892,Unrecognized Transaction,Beauty and Personal Care,59951.81,MC000052,Terms and Conditions,Staff_179,Pending,"As a customer, I am frustrated that I never received the product I purchased. I understand that this can be a common issue with online shopping, but it's still disappointing. I think the merchant should be held responsible for this issue and provide a refund for the full amount. This is not the first time that",resolved in favor of member,2021-07-10 07:18:11.891891892,0,False
DS000344,C000094,2021-01-12 09:38:01.081081080,2021-02-28 09:38:01.081081080,Service Not Rendered,Art and Craft,23618.93,MC000082,Receipt,Staff_284,Pending,"I am writing this review as a chargeback on the transaction I made on 12th January 2021. I ordered a painting from the merchant, but I never received it. I have provided all the necessary documentation to the merchant, but they have not responded to my queries.",resolved in favor of merchant,2021-03-05 09:38:01.081081080,0,False
DS000345,C000080,2021-01-13 11:57:50.270270268,2021-04-08 11:57:50.270270268,Fraudulent Transaction,Art and Craft,82107.69,MC000086,Correspondence,Staff_341,New,"I recently purchased a painting from an online art gallery and unfortunately, the product I received was not as described. The colors were faded and the paint was peeling off in some areas. I have contacted the merchant and provided them with the necessary documentation to handle the chargeback dispute.",resolved in favor of merchant,2021-04-18 11:57:50.270270268,0,True
DS000346,C000018,2021-01-14 14:17:39.459459460,2021-03-27 14:17:39.459459460,Unauthorized Recurring Charge,Art and Craft,20893.82,MC000082,Service Agreement,Staff_161,Resolved,"I am a customer who recently made a purchase from a merchant, and unfortunately, I am writing this review because I have been charged back. I purchased a product from the art and craft merchant, and I was surprised when I received my bank statement and saw a charge for $208.9, Outcome:",resolved in favor of merchant,2021-08-06 14:17:39.459459460,132,True
DS000347,C000084,2021-01-15 16:37:28.648648648,2021-01-28 16:37:28.648648648,Product Not Received,Beauty and Personal Care,49725.34,MC000053,Terms and Conditions,Staff_206,Pending,"I ordered a beauty and personal care product from a company and paid for it with my credit card. However, I never received the product and the company refused to refund my money. I filed a chargeback dispute with my credit card company to get my money back. The dispute is pending, and I am waiting for the",resolved in favor of merchant,2021-06-12 16:37:28.648648648,0,False
DS000348,C000065,2021-01-16 18:57:17.837837836,2021-02-01 18:57:17.837837836,Identity Theft,Toys and Games,12293.01,MC000009,Identity Verification Documents,Staff_332,Pending,"I purchased a Fisher-Price Laugh & Learn Smart Stages Chair, Blue for my child from the merchant, but I received a different product. The product received was not the same as the one I ordered and was of poor quality. I am requesting a refund for the product.",resolved in favor of merchant,2021-04-23 18:57:17.837837836,0,False
DS000349,C000091,2021-01-17 21:17:07.027027028,2021-04-11 21:17:07.027027028,Unrecognized Transaction,Health and Hygiene,28820.52,MC000087,Identity Verification Documents,Staff_061,Rejected,The transaction is for a product that is not recognizable. I am not sure if this is because of a mistake on their part or if it is a fraudulent charge.,resolved in favor of merchant,2021-07-23 21:17:07.027027028,0,True
